(* LiveJournal data collected by Shirley Man from *)
(* http://www.livejournal.com/stats/stats.txt     *)
(* Number of new accounts on LiveJournal,         *)
(* day by day from 2000/1/1 to 2005/2/28          *)
(* Individual data are NOT labelled.              *)
data -          9781
data -          8984
data -          9327
data -          9175
data -         10589
data -         11467
data -         11104
data -         10139
data -          7839
data -          8367
data -          9923
data -         11412
data -         11367
data -         11657
data -          9060
data -         10507
data -          9665
data -          9362
data -         10907
data -         11263
data -         11023
data -         10352
data -          9715
data -          8763
data -          8087
data -          8222
data -          9174
data -         10912
data -          8210
data -          6989
data -          8845
data -         10274
data -         11707
data -         11340
data -         11345
data -         11064
data -         11828
data -         10408
data -         10357
data -         10971
data -         11432
data -         10898
data -         10957
data -         10619
data -          9824
data -          9870
data -         11126
data -         11131
data -         10030
data -         11932
data -         10902
data -         10700
data -         10767
data -         12418
data -          7787
data -          7149
data -          8428
data -         10961
data -          8917
data -         10913
data -         11634
data -          8989
data -         10685
data -         10716
data -          9895
data -          9359
data -          9206
data -         10378
data -          7585
data -         11070
data -          9754
data -          8799
data -          8512
data -          8512
data -         10183
data -         10935
data -         10770
data -         10759
data -          9080
data -          8491
data -          5474
data -          6803
data -          8433
data -          9873
data -         10090
data -         10122
data -          9262
data -          8109
data -         11561
data -          8942
data -         10715
data -         11604
data -         13268
data -         11290
data -         11820
data -         12810
data -         11822
data -         12091
data -         12122
data -         12162
data -         10939
data -          3614
data -         14175
data -         14054
data -         12460
data -         12380
data -         11784
data -         11713
data -         12983
data -         13704
data -         13099
data -         12322
data -         12382
data -         11552
data -         11195
data -         12217
data -         13899
data -         12550
data -         11676
data -         11555
data -         10723
data -         10338
data -         10819
data -         12001
data -         11469
data -         11575
data -         11964
data -         11316
data -         10334
data -         10685
data -         11476
data -         11160
data -         12283
data -         11660
data -         11732
data -         10950
data -         10813
data -         12939
data -         13998
data -         13046
data -         12019
data -         12203
data -         10053
data -         10106
data -         12557
data -         11509
